idx,rot_sign,SMILES,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral
000049,1,CNS(=O)(=O)N1CCC(Nc2ncc3cc(C(F)F)c(=O)n([C@H]4CCC[C@]4(C)O)c3n2)CC1,C1,True,C1,True
000050,1,CS(=O)(=O)N1CC[C@@H](Nc2ncc3cc(Cl)c(=O)n(C4CCCC4)c3n2)[C@H](F)C1,C1,True,C1,True
000051,1,CS(=O)(=O)N1CC[C@@H](Nc2ncc3cc(CCO)c(=O)n(C4CCCC4)c3n2)[C@H](F)C1,C1,True,C1,True
000052,1,CS(=O)(=O)N1CC[C@@H](Nc2ncc3cc(CC(N)=O)c(=O)n(C4CCCC4)c3n2)[C@H](F)C1,C1,True,C1,True
000053,1,Cc1cc2cnc(NC3CCN(S(C)(=O)=O)CC3)nc2n([C@H]2CC[C@H](O)C2)c1=O,C1,True,C1,True
000054,1,CS(=O)(=O)N1CCC(Nc2ncc3cc(CC(F)F)c(=O)n([C@H]4CC[C@H](O)C4)c3n2)CC1,C1,True,C1,True
000055,1,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc(O)c(OC)c2)ccc1O,C1,True,C1,True
000056,1,Cn1cc(-n2nc(-c3ccc(C(F)(F)F)cc3)cc(C(=O)N[C@@H]3COC[C@@H]3O)c2=O)cn1,C1,True,C1,True
000057,1,O=C1CO[C@H]2CCN(C(=O)N3CCC(C#Cc4ncccc4Cl)CC3)C[C@H]2N1,C1,True,C1,True
000058,1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NC(C)(C)C)c1nnc(C)n1-2,C1,True,C1,True
000059,1,COc1cc(F)c([C@H]2CNC(=O)[C@@H]2NC(=O)Nc2ccc(F)cc2)c(F)c1,C1,True,C1,True
000060,1,C[C@@H]1[C@H](n2c(=O)ccc3cnc(NC4CCN(S(C)(=O)=O)CC4)nc32)CC[C@@H]1O,C1,True,C1,True
000061,1,C[C@@]1(O)CCC[C@H]1n1c(=O)ccc2cnc(NC3CCN(S(=O)(=O)c4nncs4)CC3)nc21,C1,True,C1,True
000062,1,Cc1cc2cnc(NC3CCN(S(=O)(=O)C4CCS(=O)(=O)C4)CC3)nc2n([C@@H]2CCC[C@@]2(C)O)c1=O,C1,True,C1,True
000063,1,CS(=O)(=O)N1CCC(Nc2ncc3cc(C(F)F)c(=O)n([C@@H]4CC[C@@H](O)C4)c3n2)CC1,C1,True,C1,True
000064,1,C[C@@]1(O)CCC[C@H]1n1c(=O)ccc2cnc(NC3CCN(S(N)(=O)=O)CC3)nc21,C1,True,C1,True
000065,1,C[C@@]1(O)CCC[C@H]1n1c(=O)c(F)cc2cnc(NC3CCN(S(C)(=O)=O)CC3)nc21,C1,True,C1,True
000066,1,CCOC(=O)c1cccc([C@@H]2CCN(C(=O)OC(C)(C)C)C(=O)[C@H]2C)c1,C1,True,C1,True
000067,1,C[C@@H]1CN(C(=O)OC(C)(C)C)C[C@@H]1F,C1,True,C1,True
000068,1,CCOC(=O)[C@]1(c2ccc(OC)cc2)CCCC[C@@H]1O,C1,True,C1,True
000070,1,O=C(Nc1ccc2c(cnn2-c2ccc(NC(=O)[C@@H]3C[C@H]3c3ccccc3)cc2)c1)c1ccc(N2CCC(O)CC2)cc1,C1,True,C1,True
000072,1,C[C@]12CC[C@@H](O)CC1CCC2=O,C1,True,C1,True
000073,1,CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1NCc1ccccc1,C1,True,C1,True
000074,1,CCO[C@H]1CN(c2nc(C(=O)NC(C)C)c(C(=O)O)s2)CC[C@H]1NC(=O)c1nc(Cl)c(CC)[nH]1,C1,True,C1,True
000075,1,CN(Cc1ccccc1)[C@@H]1CCCC[C@@H]1NC(=O)OC(C)(C)C,C1,True,C1,True
000076,1,CN1CCc2nc(C(=O)N[C@@H]3CCCC[C@@H]3NC(=O)c3cc4cc(C#C[Si](C)(C)C)ccc4[nH]3)sc2C1,C1,True,C1,True
000077,1,CO/N=C1\CC[C@@H](NC(=O)OC(C)(C)C)[C@@H](NC(=O)OC(C)(C)C)C1,C1,True,C1,True
000079,1,COC(=O)[C@H](C)N(C=O)c1ccc(Cl)cc1,C1,True,C1,True
000082,1,O=C(C#Cc1ccccc1)N[C@H]1CCCC[C@H]1NC(=O)c1cc2cc(Cl)ccc2[nH]1,C1,True,C1,True
000086,1,COC(=O)CN1CCc2nc(C(=O)N[C@H]3CCCC[C@H]3NC(=O)c3cc4cc(Cl)ccc4[nH]3)sc2C1,C1,True,C1,True
000089,1,O=C(N[C@H]1CCCC[C@H]1[NH+]([O-])C(=O)c1ccc(-c2ccncc2)cc1)c1cc2cc(Cl)ccc2[nH]1,C1,True,C1,True
000093,1,CC(=O)OC[C@@H]1[C@@H](c2c(OC(C)=O)cc(O)c3c(=O)cc(-c4ccc([N+](=O)[O-])cc4)oc23)CCN1C,C1,True,C1,True
000094,1,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccc(N)cc4Cl)oc23)[C@H]1CO,C1,True,C1,True
000096,1,CC(C)[C@H](NC(=O)OCc1ccccc1)P(=O)(O)O,C1,True,C1,True
000098,1,CC12C[C@H](N)[C@@H]1CN(c1nc3c(cc1F)c(=O)c(C(=O)O)cn3C1CC1)C2,C1,True,C1,True
000099,1,O=C(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)CS1)c1ccccc1,C1,True,C1,True
000100,1,O=C(NC(=S)N[C@@]1(c2ccccc2F)CCOC[C@@H]1CO)c1ccccc1,C1,True,C1,True
000101,1,NC1=N[C@@]2(c3ccccc3F)CCCCC[C@H]2CS1,C1,True,C1,True
000102,1,NC1=N[C@@]2(c3ccccc3F)CC[C@H](OCc3ccccc3)C[C@H]2CS1,C1,True,C1,True
000103,1,CC(C)=CCN1Cc2cccc3ncn(c23)C[C@@H]1C,C1,True,C1,True
000104,1,C[C@]1(c2c(F)ccc(F)c2F)COC(N)=N1,C1,True,C1,True
000105,1,[N-]=[N+]=N[C@H]1CCCC[C@H]1N1CCC(Cc2ccc(Cl)cc2)CC1,C1,True,C1,True
000106,1,I[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2I,C2,True,C2,True
