id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,specific_rotation_computed_abs,specific_rotation_abs,specific_rotation_power,specific_rotation_power_abs,specific_rotation_computed_power,specific_rotation_computed_power_abs,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral,specific_rotation_sign,specific_rotation_computed_sign
1464743,[H][C@@]1(CO)CCCN1C(=O)OCC1=CC=CC=C1,O=C(OCc1ccccc1)N1CCC[C@H]1CO,-40.1,78.35,78.35,40.1,-94.34848299999997,94.34848299999997,184.34423049999995,184.34423049999995,C1,True,C1,True,-1.0,1.0
1621057,O=C1C[C@@H](C2=CC=CC=C2)C2=CC=CC=C2O1,O=C1C[C@@H](c2ccccc2)c2ccccc2O1,55.7,295.4,295.4,55.7,124.912263,124.912263,662.4610859999999,662.4610859999999,C1,True,C1,True,1.0,1.0
1624200,[H][C@@]12[C@H]3OC(=O)[C@@H](C)[C@@H]3CCC(C)=C1C(=O)C=C2C,CC1=CC(=O)C2=C(C)CC[C@@H]3[C@H](OC(=O)[C@H]3C)[C@@H]12,61.7,-71.6,71.6,61.7,151.970802,151.970802,-176.35509599999997,176.35509599999997,C1,True,C1,True,1.0,-1.0
1652900,CC(=O)O[C@@H]1C=CO[C@H](CN=N#N)[C@H]1OC(C)=O,CC(=O)O[C@H]1[C@H](OC(C)=O)C=CO[C@@H]1CN=[N+]=[N-],-46.0,337.74,337.74,46.0,-117.4058,117.4058,862.0138019999999,862.0138019999999,C1,True,C1,True,-1.0,1.0
1680160,[H][C@@]12CC[C@H](CCCC)N1[C@H](C)CCC2,CCCC[C@H]1CC[C@H]2CCC[C@@H](C)N21,-35.5,1.32,1.32,35.5,-69.34924999999998,69.34924999999998,2.5786199999999995,2.5786199999999995,C1,True,C1,True,-1.0,1.0
1718809,[H][C@](C)(CC)CO,CC[C@H](C)CO,-1.7,-23.68,23.68,1.7,-1.4985499999999998,1.4985499999999998,-20.87392,20.87392,C1,True,C1,True,-1.0,-1.0
1718955,[H][C@@](C)(CO)C(C)C,CC(C)[C@H](C)CO,4.35,83.35,83.35,4.35,4.4446995,4.4446995,85.16452949999999,85.16452949999999,C1,True,C1,True,1.0,1.0
1719281,[H][C@@](CC)(CO)CCCC,CCCC[C@H](CC)CO,1.75,44.85,44.85,1.75,2.2790425,2.2790425,58.4086035,58.4086035,C1,True,C1,True,1.0,1.0
1719324,[H][C@](C)(O)CCCCCC,CCCCCC[C@@H](C)O,-9.4,-53.55,53.55,9.4,-12.241714,12.241714,-69.7387005,69.7387005,C1,True,C1,True,-1.0,-1.0
1719329,[H][C@@](C)(Cl)CCCCCC,CCCCCC[C@H](C)Cl,34.6,-70.25,70.25,34.6,51.44224199999999,51.44224199999999,-104.4455925,104.4455925,C1,True,C1,True,1.0,-1.0
1720889,[H][C@](C)(CC)C(=O)OCC,CCOC(=O)[C@@H](C)CC,24.5,42.98,42.98,24.5,31.895815,31.895815,55.954372599999985,55.954372599999985,C1,True,C1,True,1.0,1.0
1720989,[H][C@](C)(CC=C)C(O)=O,C=CC[C@H](C)C(=O)O,9.6,63.52,63.52,9.6,10.957823999999999,10.957823999999999,72.50426879999999,72.50426879999999,C1,True,C1,True,1.0,1.0
1723417,[H][C@@](O)(CCCCCCC)CC(O)=O,CCCCCCC[C@@H](O)CC(=O)O,-16.4,-51.15,51.15,16.4,-30.875787999999996,30.875787999999996,-96.29857049999998,96.29857049999998,C1,True,C1,True,-1.0,-1.0
1723731,[H][C@@](O)(CCCCCCC)CC(=O)OC,CCCCCCC[C@@H](O)CC(=O)OC,-17.35,24.41,24.41,17.35,-35.098009000000005,35.098009000000005,49.37996539999999,49.37996539999999,C1,True,C1,True,-1.0,1.0
1934136,[H][C@](C)(C(O)=O)[C@]([H])(O)CCCCCC,CCCCCC[C@@H](O)[C@@H](C)C(=O)O,5.0,-40.48,40.48,5.0,9.413349999999998,9.413349999999998,-76.21048159999998,76.21048159999998,C1,True,C1,True,1.0,-1.0
1962763,[H][C@@](NC(=O)OC(C)(C)C)(C(O)=O)C(C)(C)C,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C,-2.8,1.4,1.4,2.8,-6.476175999999999,6.476175999999999,3.2380879999999994,3.2380879999999994,C1,True,C1,True,-1.0,1.0
