id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs
1723417,[H][C@@](O)(CCCCCCC)CC(O)=O,CCCCCCC[C@@H](O)CC(=O)O,-16.4,-51.15,188.267,-188.267,51.15
1723731,[H][C@@](O)(CCCCCCC)CC(=O)OC,CCCCCCC[C@@H](O)CC(=O)OC,-17.35,24.41,202.29399999999998,202.29399999999998,24.41
1934136,[H][C@](C)(C(O)=O)[C@]([H])(O)CCCCCC,CCCCCC[C@@H](O)[C@@H](C)C(=O)O,5.0,-40.48,188.26699999999997,-188.26699999999997,40.48
1962763,[H][C@@](NC(=O)OC(C)(C)C)(C(O)=O)C(C)(C)C,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C,-2.8,1.4,231.29199999999997,231.29199999999997,1.4
1967907,[H][C@@]12C[C@H](O)C(=C)[C@]1(O)[C@@]1([H])C(C)(C)CC[C@@]1(C)C2,C=C1[C@@H](O)C[C@H]2C[C@]3(C)CCC(C)(C)[C@@H]3[C@@]12O,40.8,-61.75,236.35499999999996,-236.35499999999996,61.75
2038251,C[C@H]1CCC(=O)C1,C[C@H]1CCC(=O)C1,-10.8,-218.82,98.145,-98.145,218.82
2038599,O[C@@H]1CCCC=C1,O[C@H]1C=CCCC1,11.55,-108.58,98.14500000000001,-98.14500000000001,108.58
2039797,[H][C@@](C)(O)C1=CC=CC=C1,C[C@H](O)c1ccccc1,-23.6,-72.49,122.16699999999996,-122.16699999999996,72.49
2040677,CC1=CC=C(C=C1)[S@@](C)=O,Cc1ccc([S@@](C)=O)cc1,127.0,360.05,154.234,154.234,360.05
2042028,[H][C@@](C)(O)C1=CC=C(Cl)C=C1,C[C@H](O)c1ccc(Cl)cc1,-33.3,-70.24,156.612,-156.612,70.24
2042396,[H][C@@](C)(O)C1=CC2=C(C=CC=C2)C=C1,C[C@H](O)c1ccc2ccccc2c1,-21.9,-15.62,172.22699999999998,-172.22699999999998,15.62
2042986,[H][C@](O)(C(C)C)C1=CC=CC=C1,CC(C)[C@H](O)c1ccccc1,-26.07,-46.63,150.22099999999998,-150.22099999999998,46.63
2047702,C[C@@H]1CCC2=C(C=CC=C2)[C@@H]1O,C[C@@H]1CCc2ccccc2[C@@H]1O,65.83,105.11,162.23199999999997,162.23199999999997,105.11
2047993,C[C@H]1CCC2=C1C[C@@H](CC[C@@H]2C)C(C)(C)O,C[C@H]1CC[C@@H](C(C)(C)O)CC2=C1CC[C@@H]2C,-22.0,-46.21,222.37199999999993,-222.37199999999993,46.21
2048296,[H][C@](O)(C1CCCCC1)C1=CC=CC=C1,O[C@H](c1ccccc1)C1CCCCC1,-20.92,-43.15,190.28599999999992,-190.28599999999992,43.15
2049261,[H][C@]1(CC(=O)C2=CC=CC=C12)C1=CC=CC=C1,O=C1C[C@@H](c2ccccc2)c2ccccc21,64.9,194.57,208.26,208.26,194.57
2050108,[H][C@]1(O)C2=CC=CC=C2C[C@@]1([H])C1=CC=CC=C1,O[C@H]1c2ccccc2C[C@H]1c1ccccc1,105.71,243.89,210.276,210.276,243.89
2050827,CC(=O)\C=C\[C@@]1(O)C(C)=CC(=O)CC1(C)C,CC(=O)/C=C/[C@@]1(O)C(C)=CC(=O)CC1(C)C,221.6,140.09,222.28399999999996,222.28399999999996,140.09
2208227,OC[C@H]1C[C@@H]1C1=CC=CC=C1,OC[C@H]1C[C@@H]1c1ccccc1,73.75,178.92,148.20499999999998,148.20499999999998,178.92
2251978,CC(C)[C@@](O)(CO)C1=CC=CC=C1,CC(C)[C@@](O)(CO)c1ccccc1,-19.0,68.32,180.24699999999999,180.24699999999999,68.32
2323323,C[C@H]1CCCC(=O)C1,C[C@H]1CCCC(=O)C1,-9.7,-16.01,112.172,-112.172,16.01
2323817,O=C1CC[C@@H]2CC[C@H]12,O=C1CC[C@@H]2CC[C@H]12,329.0,398.11,110.15599999999999,110.15599999999999,398.11
2324133,O[C@@H]1CCCCCC=C1,O[C@H]1C=CCCCCC1,6.4,317.84,126.19900000000001,126.19900000000001,317.84
2326819,CC[C@@](O)(CO)C1=CC=CC=C1,CC[C@@](O)(CO)c1ccccc1,-2.0,49.86,166.22,166.22,49.86
2329658,[H][C@@](O)(C1=CC=CC=C1)C1=CC=C(C)C=C1,Cc1ccc([C@H](O)c2ccccc2)cc1,16.35,338.47,198.26500000000001,198.26500000000001,338.47
2330153,[H][C@@](O)(C1CCCCC1)C1=CC=C(C)C=C1,Cc1ccc([C@H](O)C2CCCCC2)cc1,28.0,45.99,204.31299999999996,204.31299999999996,45.99
2331265,O[C@@H]1[C@@H](CCC2=C1C=CC=C2)C1=CC=CC=C1,O[C@H]1c2ccccc2CC[C@H]1c1ccccc1,162.0,53.58,224.303,224.303,53.58
2365204,[H][C@@]12C[C@@H](CCC(C)=C1CC[C@@H]2C)C(C)(C)O,CC1=C2CC[C@H](C)[C@@H]2C[C@H](C(C)(C)O)CC1,2.0,0.76,222.37199999999996,222.37199999999996,0.76
2408992,[H][C@@](N)(C#N)C(C)C,CC(C)[C@H](N)C#N,-8.3,-38.78,98.149,-98.149,38.78
2413051,CC[S@@](=O)C1=CC=C(C)C=C1,CC[S@@](=O)c1ccc(C)cc1,145.0,467.11,168.261,168.261,467.11
2416152,C[C@H]([C@@H](O)C1=CC=CC=C1)N(=O)=O,C[C@H]([C@@H](O)c1ccccc1)[N+](=O)[O-],1.1,-32.81,181.19099999999997,-181.19099999999997,32.81
2416728,[H][C@](O)(C1=CC=C(Cl)C=C1)[C@@]([H])(C)N(=O)=O,C[C@H]([C@@H](O)c1ccc(Cl)cc1)[N+](=O)[O-],3.7,-18.0,215.636,-215.636,18.0
2418567,[H][C@](O)(C1=C(OC)C=CC=C1)[C@@]([H])(C)N(=O)=O,COc1ccccc1[C@H](O)[C@@H](C)[N+](=O)[O-],0.9,129.14,211.21699999999998,211.21699999999998,129.14
