run_id,name,epoch,test_rmse,test_score,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,embedding_specs,distance_emb_dim,internal_weights
985v1x73,cv10-HS_LS_same_fold-OctaFull_emb-LUMO-inv-noH-ns48-d64-l3-vector-node,504,0.689024806022644,0.3660282790660858,0.25374099612236023,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/2_test_indices.txt,node,0.1,True,vector,0.7995,torchchem_v1,1e-05,25,3,LUMO,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",64,False
nr2r9lwz,cv10-HS_LS_same_fold-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,421,0.511867105960846,0.3332207500934601,0.3049028217792511,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/7_test_indices.txt,both,0.1,True,vector_masked,0.8004,torchchem_v1,1e-05,10,3,gap,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",48,False
l2qdeez6,cv10-random-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,512,0.5202966928482056,0.34859704971313477,0.3519398272037506,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_3612/7_test_indices.txt,both,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,gap,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",48,False
8o7ofv4i,cv10-HS_LS_same_fold-OctaFull_emb-HOMO-inv-noH-ns64-d64-l2-vector-node,512,0.4880557358264923,0.27074870467185974,0.2221234440803528,0.001,64,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/7_test_indices.txt,node,0.05,True,vector,0.8004,torchchem_v1,1e-05,10,2,HOMO,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",64,False
v78621ut,cv10-random-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,435,0.499953418970108,0.34723424911499023,0.3210185766220093,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/random_3612/9_test_indices.txt,both,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,10,3,gap,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",48,False
tguw8uge,cv10-HS_LS_same_fold-OctaFull_emb-LUMO-inv-noH-ns48-d64-l3-vector-node,512,0.5821565985679626,0.36130794882774353,0.2588774263858795,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/3_test_indices.txt,node,0.1,True,vector,0.7995,torchchem_v1,1e-05,25,3,LUMO,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",64,False
8zea8qph,cv10-HS_LS_same_fold-OctaFull_emb-LUMO-inv-noH-ns48-d64-l3-vector-node,512,0.4591251313686371,0.269456684589386,0.24444888532161713,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/1_test_indices.txt,node,0.1,True,vector,0.7995,torchchem_v1,1e-05,25,3,LUMO,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",64,False
kbhpxvf9,cv10-HS_LS_same_fold-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,345,0.5011126399040222,0.3265449106693268,0.31484848260879517,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/2_test_indices.txt,both,0.1,True,vector_masked,0.7995,torchchem_v1,1e-05,10,3,gap,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",48,False
t22ikihv,cv10-HS_LS_same_fold-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,512,0.4567378163337707,0.3088054358959198,0.3306175172328949,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/4_test_indices.txt,both,0.1,True,vector_masked,0.7995,torchchem_v1,1e-05,10,3,gap,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",48,False
pzwhzl95,cv10-HS_LS_same_fold-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,485,0.5013976693153381,0.3455762565135956,0.3162059783935547,0.001,48,0,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/HS_LS_same_fold_3612/6_test_indices.txt,both,0.1,True,vector_masked,0.8004,torchchem_v1,1e-05,10,3,gap,False,"{""multiplicity"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":101,""offset"":0},""total_charge"":{""type"":""categorical"",""per"":""graph"",""in_dim"":1,""emb_dim"":1024,""num_classes"":201,""offset"":100}}",48,False
