run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,distance_emb_dim
wvadi380,pk4929pn,bumbling-sweep-47,0.46048423647880554,0.001,64,,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/3_train_valid_3612/0_test_indices.txt,node,0.0,True,vector,0.599,torchchem_v1,0.0001,50,2,gap,False,32
9tu10yc1,y6026ssp,zany-sweep-64,1.0076624155044556,0.0005,64,,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/3_train_valid_3612/0_test_indices.txt,both,0.1,True,vector,0.599,torchchem_v1,1e-05,50,3,LUMO,False,48
c0um08q6,srrhrli5,glad-sweep-11,0.8101250529289246,0.001,48,,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaFull,torchchem_v1,default,test:data/kulik/OctaKulik-splits/3_train_valid_3612/0_test_indices.txt,node,0.05,True,vector,0.599,torchchem_v1,1e-05,50,3,HOMO,False,64
e1t5536y,88u8pxoj,helpful-sweep-39,4.278650283813477,0.001,48,,True,normal,123,2.5,data/kulik/dataloader_kulik.py:OctaLow,torchchem_v1,default,test:data/kulik/OctaKulik-splits/4_train_valid_1806/0_test_indices.txt,both,0.0,True,energy,0.599,torchchem_v1,1e-05,25,3,splitting,False,48
