run_id,name,epoch,test_rmse,test_score,val_score_best,lr,n_s,n_v,noH,arch,seed,radius,dataset,features,geometry,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,graph_method,weight_decay,max_neighbors,n_conv_layers,target_column,classification,embedding_specs,distance_emb_dim,internal_weights
5kn9gorm,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,433,2.0651636123657227,1.155111312866211,0.956526517868042,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/6_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
5yizfu6l,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,483,1.8575888872146609,1.1172921657562256,1.0536766052246094,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/7_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
cpaf072t,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,328,1.944076418876648,1.2037590742111206,1.0685874223709106,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
e0p9b903,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,328,1.7784913778305054,1.1163996458053589,0.968959629535675,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
nbok02pt,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,371,1.872020959854126,1.0908540487289429,1.0478228330612185,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
wrc2m279,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,451,1.854876160621643,1.0728164911270142,0.9535428881645204,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/4_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
x3nufu6v,cv10-TMGSspinPlus-HOMO-inv-noH-ns64-d32-l3-vector_masked-node,512,2.0295541286468506,1.2981643676757812,1.045251727104187,0.001,64,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/5_test_indices.txt,node,0.1,True,vector_masked,0.8,torchchem_v1,1e-05,50,3,HOMO,False,,32,
1a1mtieb,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,330,1.7477251291275024,1.1765300035476685,1.1958136558532717,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
1me7xccu,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,249,1.861806869506836,1.2305216789245603,1.0847516059875488,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
23p7v76d,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,206,2.1476407051086426,1.2951538562774658,1.2247949838638306,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
ctglshil,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,346,2.19254732131958,1.4151901006698608,1.2115167379379272,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
plrokdub,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,190,2.136139392852783,1.2875843048095703,1.1617136001586914,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/4_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
qmagt3br,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,204,2.2734925746917725,1.4562426805496216,1.1255229711532593,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
r71khlte,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,185,2.090670585632324,1.4919644594192505,1.1113030910491943,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/5_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
sycj3s93,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,273,2.0649547576904297,1.3297162055969238,1.21091890335083,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/6_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
tk6elucw,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,202,1.8347612619400024,1.3039268255233765,1.1693894863128662,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/7_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
x5rcvgfd,cv10-TMGSspinPlus-LUMO-inv-noH-ns48-d64-l3-vector_masked-node,194,2.0632922649383545,1.393657088279724,1.1752817630767822,0.0005,48,0,True,normal,123,5.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/8_test_indices.txt,node,0.0,True,vector_masked,0.8,torchchem_v1,0.0,50,3,LUMO,False,,64,
3wich8sp,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,337,1.659396052360535,1.1979453563690186,1.1486973762512207,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/4_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
4w93uea3,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,228,1.7572191953659058,1.3427139520645142,1.2194916009902954,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/3_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
7co0t34v,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,276,1.6561821699142456,1.1773598194122314,1.1260504722595217,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/2_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
a2pnav4w,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,263,2.121976375579834,1.4801052808761597,1.1576228141784668,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/1_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
b1r6xo3k,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,259,1.6128934621810913,1.2217541933059692,1.17695951461792,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/9_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
c3pd9x3e,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,294,1.7616311311721802,1.2392234802246094,1.1011643409729004,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/8_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
dii6nig5,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,420,1.974196195602417,1.3713773488998413,1.1652984619140625,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
e0iex0zp,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,286,1.8308134078979492,1.3677412271499634,1.2177001237869265,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/7_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
o4rjr17x,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,359,1.8195037841796875,1.3146395683288574,1.119632124900818,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/5_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
xycniphq,cv10-TMGSspinPlus-LUMO-inv-noH-ns64-d32-l3-energy-both,398,1.7803900241851809,1.2504397630691528,1.1383723020553589,0.0005,64,0,True,normal,123,2.5,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/6_test_indices.txt,both,0.1,True,energy,0.8,torchchem_v1,0.001,25,3,LUMO,False,,32,
1o00jn3r,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,507,2.260714292526245,1.6260496377944946,1.970898151397705,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/4_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
7j00bjna,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,470,3.262956142425537,2.344754219055176,1.8030065298080444,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/0_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
avw1gutt,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,276,2.8756303787231445,2.056593179702759,1.873010754585266,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/5_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
f8bqxpd3,cv10-TMGSspinPlus-dipole_moment_Debye-inv-noH-ns64-d16-l3-energy-node,359,3.1788594722747803,2.1011526584625244,1.939977765083313,0.001,64,0,True,normal,123,10.0,data/yuri/dataloader_yuri.py:TMGSspinPlus,torchchem_v1,default,test:data/yuri/splits/7_test_indices.txt,node,0.05,True,energy,0.8,torchchem_v1,1e-05,10,3,dipole_moment_Debye,False,,16,
