name,dataset,target,geometry,scope,invariant,mae_mean,mae_std,rmse_mean,rmse_std
train_valid-OctaFull_emb-gap-inv-noH-ns48-d48-l3-vector_masked-both,OctaFull,gap,default,local,True,0.45322561264038086,,0.6413479447364807,
cv10-random-OctaLow-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,4.593193602561951,0.31630857155087666,7.096232748031616,0.6879321709930417
cv10-random-OctaLow_emb-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,3.074485182762146,0.24593073463596418,4.667146062850952,0.3202494586859314
cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,3.047040820121765,0.2642800895013188,4.562826824188233,0.49832712993899253
train_valid-OctaLow-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,4.5826191902160645,,6.823130130767822,
train_valid-OctaLow_emb-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,3.818122148513794,,6.248481750488281,
train_valid-OctaLow_emb_low-splitting-inv-noH-ns64-d16-l3-vector-both,OctaLow,splitting,default,global,True,3.768533706665039,,5.485837459564209,
cv10-random-OctaLow-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,4.499830150604248,0.276503141625316,6.981809282302857,0.6882453989878509
cv10-random-OctaLow_emb-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,2.9037424087524415,0.1620103025555089,4.439568996429443,0.432114327022834
cv10-random-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,2.9149656534194945,0.1941353694345306,4.345361542701721,0.42578241307461073
train_valid-OctaLow-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,4.87775993347168,,7.610978126525879,
train_valid-OctaLow_emb-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,3.344813346862793,,4.7022294998168945,
train_valid-OctaLow_emb_low-splitting-inv-noH-ns64-d32-l3-vector_masked-both,OctaLow,splitting,default,local,True,3.4646081924438477,,5.156803131103516,
