run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
q8xdnhq5,qrpbckee,lively-sweep-26,1.841092925629679,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector,0.8,1e-05,10,3,dipole_moment_Debye,64
tl5sak83,qrpbckee,eternal-sweep-27,2.0607400093181316,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,energy,0.8,1e-05,10,2,dipole_moment_Debye,64
kvngtm29,qrpbckee,dashing-sweep-28,2.181612067152575,0.001,16,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector,0.8,1e-05,25,3,dipole_moment_Debye,64
ojinj7mn,qrpbckee,stilted-sweep-29,1.9399309368911848,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector,0.8,1e-05,25,3,dipole_moment_Debye,32
wgm4qw8i,qrpbckee,super-sweep-30,1.7196989099165791,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,64
l0c5xfcx,qrpbckee,eager-sweep-31,1.669639388425171,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,48
9dl5jleh,qrpbckee,crisp-sweep-32,1.7934718320706142,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,1e-05,25,3,dipole_moment_Debye,16
1xyq4n3n,qrpbckee,vague-sweep-33,1.6369772459712837,0.0005,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,64
zeas9jdo,qrpbckee,feasible-sweep-34,1.7560537423941824,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,25,3,dipole_moment_Debye,32
9qix75bm,qrpbckee,classic-sweep-35,1.9059335938835509,0.0005,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,25,3,dipole_moment_Debye,16
widaod39,qrpbckee,floral-sweep-36,2.272984202652457,0.001,16,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,0.001,10,3,dipole_moment_Debye,64
zxaxuky0,qrpbckee,exalted-sweep-37,2.1732131981289338,0.0001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,energy,0.8,1e-05,25,3,dipole_moment_Debye,64
5eyq3ijn,qrpbckee,chocolate-sweep-38,1.807288655378928,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,1e-05,25,3,dipole_moment_Debye,16
359f781g,qrpbckee,youthful-sweep-39,1.8110386672163497,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,50,3,dipole_moment_Debye,16
lsktxw10,qrpbckee,legendary-sweep-40,2.0067550555768263,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector,0.8,1e-05,10,2,dipole_moment_Debye,16
oo31t7yt,qrpbckee,toasty-sweep-41,1.879940887193574,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,10,2,dipole_moment_Debye,16
22l86ybt,qrpbckee,apricot-sweep-42,1.791731797167287,0.001,32,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,32
l6w0nvbq,qrpbckee,stellar-sweep-43,2.014837211214831,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,1e-05,10,3,dipole_moment_Debye,48
e4jztftk,qrpbckee,fanciful-sweep-44,1.751315343866904,0.0005,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,48
07cohoah,qrpbckee,flowing-sweep-45,1.978318921482988,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,1e-05,10,2,dipole_moment_Debye,16
h24nknwz,qrpbckee,copper-sweep-46,2.478720094968587,5e-05,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector,0.8,1e-05,10,2,dipole_moment_Debye,16
xp532tni,qrpbckee,vital-sweep-47,1.9060964829869451,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,64
qkz4kcdo,qrpbckee,crimson-sweep-48,1.935284555767772,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector,0.8,1e-05,10,3,dipole_moment_Debye,48
uma5lugi,qrpbckee,super-sweep-49,1.8684866948644596,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,48
2zow15t2,qrpbckee,rich-sweep-50,2.0068198606025724,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,0.001,25,3,dipole_moment_Debye,32
yvm1tnhg,qrpbckee,fearless-sweep-51,1.7696285116886927,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,32
52ep8kht,qrpbckee,amber-sweep-52,2.016217157486535,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,vector,0.8,1e-05,10,3,dipole_moment_Debye,48
wwwy69y1,qrpbckee,olive-sweep-53,1.7388638446237312,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,0.0001,50,3,dipole_moment_Debye,16
gwt0t509,qrpbckee,dutiful-sweep-54,1.7547645543812258,0.0005,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,64
zw8j6cf0,qrpbckee,fanciful-sweep-55,2.152318038077877,0.001,16,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,16
cjn7p2df,qrpbckee,sleek-sweep-56,1.6793867788365764,0.0005,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.05,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,16
q7u3w9ik,qrpbckee,wise-sweep-57,1.8432724188140817,0.0005,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,64
9jzf0eon,qrpbckee,quiet-sweep-58,2.0237521403530563,0.001,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,50,3,dipole_moment_Debye,32
visdffiv,qrpbckee,brisk-sweep-59,2.07228364445764,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,32
3fr3rjkv,qrpbckee,polished-sweep-60,1.7274726735314458,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,16
sd4lkioy,qrpbckee,hardy-sweep-61,1.7643469174458517,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,energy,0.8,1e-05,10,3,dipole_moment_Debye,64
06l5d91h,qrpbckee,ethereal-sweep-62,1.9817786914134785,0.001,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector,0.8,1e-05,10,3,dipole_moment_Debye,64
bk155vaw,qrpbckee,good-sweep-63,1.7544583364308066,0.0005,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,energy,0.8,1e-05,25,3,dipole_moment_Debye,64
s2lqi9qd,qrpbckee,fluent-sweep-64,1.9093405104299608,0.001,48,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.1,True,vector,0.8,0.0001,25,3,dipole_moment_Debye,32
