run_id,sweep_id,name,val_score_best,lr,n_s,n_v,noH,seed,radius,dataset,features,splitter,sum_mode,dropout_p,invariant,graph_mode,train_frac,weight_decay,max_neighbors,n_conv_layers,target_column,distance_emb_dim
gzld1xsv,bkpi0ype,still-sweep-27,8.959275116813199,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,3,splitting,16
furftlec,bkpi0ype,golden-sweep-28,9.022212514906364,0.001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,10,3,splitting,32
fzpz2jlx,bkpi0ype,restful-sweep-29,8.776110151898004,0.001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,0.0001,25,2,splitting,32
hckbym1b,bkpi0ype,pleasant-sweep-30,9.240990531963318,0.0005,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,0.0001,25,2,splitting,32
dmtataq6,bkpi0ype,dazzling-sweep-31,8.959816949499338,0.0005,32,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,16
fy10w0v5,bkpi0ype,swift-sweep-32,9.370191190182524,0.0005,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,25,3,splitting,48
s0lbaoc3,bkpi0ype,fluent-sweep-33,9.012472603664524,0.0005,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,16
3rvrrffz,bkpi0ype,skilled-sweep-34,9.15946477795442,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,0.0001,10,2,splitting,48
yyqezc2i,bkpi0ype,bright-sweep-35,8.758439558371306,0.0005,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,2,splitting,16
4d4fbgqk,bkpi0ype,dazzling-sweep-36,8.93251609561427,0.001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,0.0001,10,2,splitting,32
tj693zhh,bkpi0ype,clear-sweep-37,10.160333275772723,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.1,True,vector_masked,0.8,0.001,25,3,splitting,16
o0hwjqmn,bkpi0ype,laced-sweep-38,8.717985540441541,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,10,2,splitting,16
8p4qanhm,bkpi0ype,trim-sweep-39,9.068347407257455,0.001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,48
7rz4ryv5,bkpi0ype,drawn-sweep-40,9.042004609115711,0.0001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,48
cupa0tts,bkpi0ype,exalted-sweep-41,8.797875728363593,5e-05,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,32
2029syms,bkpi0ype,easy-sweep-42,9.400539739644104,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,node,0.0,True,vector_masked,0.8,0.001,25,2,splitting,32
yzlgw8cy,bkpi0ype,dark-sweep-43,8.713508567158168,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,3,splitting,16
dfx7u8fh,bkpi0ype,snowy-sweep-44,8.755481030692158,0.001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,10,2,splitting,32
7wlfp9b9,bkpi0ype,brisk-sweep-45,8.385555781004708,5e-05,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,16
qew2rtu5,bkpi0ype,olive-sweep-46,8.041172227340322,0.0001,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,16
vtacuc93,bkpi0ype,fine-sweep-47,8.949969589312735,0.0005,64,,True,123,10.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,10,2,splitting,16
ndqxv9nt,bkpi0ype,astral-sweep-48,8.788600327066344,0.0005,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,10,3,splitting,16
xuzphr5z,bkpi0ype,fallen-sweep-49,10.339330303483948,5e-05,32,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,0.0001,10,2,splitting,16
zbizimah,bkpi0ype,firm-sweep-50,8.81876235603498,0.0005,48,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,16
hgbqj8z0,bkpi0ype,super-sweep-51,8.468715472657033,0.0001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,2,splitting,16
8vhcilz0,bkpi0ype,fresh-sweep-52,8.824888800895943,5e-05,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,25,2,splitting,16
v2kvhyof,bkpi0ype,peachy-sweep-53,9.308686383324568,0.0001,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,10,2,splitting,16
8aq9hot5,bkpi0ype,rare-sweep-54,8.970070195667518,0.0001,64,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,2,splitting,32
i1xuuz91,bkpi0ype,swept-sweep-55,9.01285260447596,0.0005,64,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,10,2,splitting,16
9nhv81fm,bkpi0ype,revived-sweep-56,8.83428450876076,0.0001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,10,2,splitting,32
ld7n4tzg,bkpi0ype,neat-sweep-57,8.394232693945288,0.0001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,2,splitting,16
mpyu5b9n,bkpi0ype,spring-sweep-58,8.703726741198818,0.0001,64,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,50,2,splitting,16
lto5lnpb,bkpi0ype,breezy-sweep-59,8.82794167917063,0.0005,48,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,50,2,splitting,16
hkme6rz1,bkpi0ype,logical-sweep-60,8.181691877142212,0.0005,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,2,splitting,16
fi52gjv0,bkpi0ype,crimson-sweep-61,8.743949470602054,0.0001,64,,True,123,5.0,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,2,splitting,16
0u0zv6bv,bkpi0ype,robust-sweep-62,8.177423705705836,5e-05,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,50,3,splitting,16
o85lhmrq,bkpi0ype,daily-sweep-63,8.341803173929204,5e-05,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.0,True,vector_masked,0.8,1e-05,25,3,splitting,32
c3mwhh8z,bkpi0ype,still-sweep-64,8.680919647724693,0.0001,64,,True,123,2.5,yuri,torchchem_v1,test:data/yuri/splits/fold_0_test_indices.npy,both,0.05,True,vector_masked,0.8,1e-05,10,2,splitting,16
